Solar8000/HR,Solar8000/BT,Solar8000/PLETH_SPO2,Solar8000/ART_SBP,Solar8000/RR,time_sec
60.0,,100.0,,,314
,,,,,315
60.0,,100.0,,,316
,,,,,317
60.0,,100.0,,,318
,,,,,319
60.0,,100.0,,,320
,,,,,321
60.0,,100.0,,,322
,,,,,323
60.0,,100.0,,,324
,,,,,325
60.0,,100.0,,,326
,,,,,327
60.0,,100.0,,,328
,,,,,329
60.0,,100.0,,,330
,,,,,331
60.0,,100.0,,,332
,,,,,333
61.0,,100.0,,,334
,,,,,335
61.0,,100.0,,,336
,,,,,337
61.0,,100.0,,,338
,,,,,339
60.0,,100.0,,,340
,,,,,341
60.0,,100.0,,,342
,,,,,343
60.0,,100.0,,,344
,,,,,345
59.0,,100.0,,,346
,,,,,347
57.0,,100.0,,,348
,,,,,349
57.0,,100.0,,,350
,,,,,351
55.0,,100.0,,,352
,,,,,353
54.0,,100.0,,,354
,,,,,355
54.0,,100.0,,,356
,,,,,357
55.0,,100.0,,,358
,,,,,359
56.0,,100.0,,,360
,,,,,361
58.0,,100.0,,,362
,,,,,363
61.0,,100.0,,,364
,,,,,365
63.0,,100.0,,,366
,,,,,367
65.0,,100.0,,,368
,,,,,369
68.0,,100.0,,,370
,,,,,371
71.0,,100.0,,,372
,,,,,373
72.0,,100.0,,,374
,,,,,375
73.0,,100.0,,,376
,,,,,377
74.0,,100.0,,,378
,,,,,379
75.0,,100.0,,,380
,,,,,381
77.0,,100.0,,,382
,,,,,383
77.0,,100.0,,,384
,,,,,385
76.0,,100.0,,,386
,,,,,387
75.0,,100.0,,,388
,,,,,389
75.0,,100.0,,,390
,,,,,391
74.0,,100.0,,,392
,,,,,393
74.0,,100.0,,,394
,,,,,395
76.0,,100.0,,,396
,,,,,397
77.0,,100.0,,,398
,,,,,399
79.0,,100.0,,,400
,,,,,401
79.0,,100.0,,,402
,,,,,403
78.0,,100.0,,,404
,,,,,405
77.0,,100.0,,,406
,,,,,407
77.0,,100.0,,,408
,,,,,409
76.0,,100.0,,,410
,,,,,411
73.0,,100.0,,,412
,,,,,413
72.0,,100.0,,,414
,,,,,415
70.0,,100.0,,,416
,,,,,417
70.0,,100.0,,,418
,,,,,419
70.0,,100.0,,,420
,,,,,421
71.0,,100.0,,,422
,,,,,423
71.0,,100.0,,,424
,,,,,425
71.0,,100.0,,,426
,,,,,427
72.0,,100.0,,,428
,,,,,429
74.0,,100.0,,,430
,,,,,431
78.0,,100.0,,,432
,,,,,433
81.0,,100.0,,,434
,,,,,435
85.0,,100.0,,,436
,,,,,437
87.0,,100.0,,,438
,,,,,439
88.0,,100.0,,,440
,,,,,441
88.0,,100.0,,,442
,,,,,443
88.0,,100.0,,,444
,,,,,445
89.0,,100.0,,,446
,,,,,447
90.0,,100.0,,,448
,,,,,449
90.0,,100.0,,,450
,,,,,451
90.0,,100.0,,,452
,,,,,453
90.0,,100.0,,,454
,,,,,455
89.0,,100.0,,,456
,,,,,457
89.0,,100.0,,,458
,,,,,459
89.0,,100.0,,,460
,,,,,461
88.0,,100.0,,,462
,,,,,463
87.0,,100.0,,,464
,,,,,465
85.0,,100.0,,,466
,,,,,467
84.0,,100.0,,,468
,,,,,469
84.0,,100.0,,,470
,,,,,471
84.0,,100.0,,,472
,,,,,473
83.0,,100.0,,,474
,,,,,475
82.0,,100.0,,,476
,,,,,477
81.0,,100.0,,,478
,,,,,479
79.0,,100.0,,,480
,,,,,481
78.0,,100.0,,,482
,,,,,483
77.0,,100.0,,,484
,,,,,485
76.0,,100.0,,,486
,,,,,487
76.0,,100.0,,,488
,,,,,489
76.0,,100.0,,,490
,,,,,491
76.0,,100.0,,,492
,,,,,493
76.0,,100.0,,,494
,,,,,495
76.0,,100.0,,,496
,,,,,497
76.0,,100.0,,,498
,,,,,499
75.0,,100.0,,,500
,,,,,501
75.0,,100.0,,,502
,,,,,503
74.0,,100.0,,,504
,,,,,505
73.0,,100.0,,,506
,,,,,507
73.0,,100.0,,,508
,,,,,509
72.0,,100.0,,,510
,,,,,511
72.0,,100.0,,,512
,,,,,513
71.0,,100.0,,,514
,,,,,515
71.0,,100.0,,,516
,,,,,517
71.0,,100.0,,,518
,,,,,519
69.0,,100.0,,,520
,,,,,521
68.0,,100.0,,,522
,,,,,523
67.0,,100.0,,,524
,,,,,525
66.0,,100.0,,,526
,,,,,527
66.0,,100.0,,,528
,,,,,529
66.0,,100.0,,,530
,,,,,531
66.0,,100.0,,,532
,,,,,533
66.0,,100.0,,,534
,,,,,535
66.0,,100.0,,,536
,,,,,537
67.0,,100.0,,,538
,,,,,539
67.0,,100.0,,,540
,,,,,541
67.0,,100.0,,,542
,,,,,543
68.0,,100.0,,,544
,,,,,545
69.0,,100.0,,,546
,,,,,547
69.0,,100.0,,,548
,,,,,549
70.0,,100.0,,,550
,,,,,551
70.0,,100.0,,,552
,,,,,553
70.0,,100.0,,,554
,,,,,555
70.0,,100.0,,,556
,,,,,557
69.0,,100.0,,,558
,,,,,559
69.0,,100.0,,,560
,,,,,561
68.0,,100.0,,,562
,,,,,563
68.0,,100.0,,,564
,,,,,565
68.0,,100.0,,,566
,,,,,567
68.0,,100.0,,,568
,,,,,569
68.0,,100.0,,,570
,,,,,571
67.0,,100.0,,,572
,,,,,573
67.0,,100.0,,,574
,,,,,575
67.0,,100.0,,,576
,,,,,577
66.0,,100.0,,,578
,,,,,579
66.0,,100.0,,,580
,,,,,581
66.0,,100.0,,,582
,,,,,583
66.0,,100.0,,,584
,,,,,585
66.0,,100.0,,,586
,,,,,587
66.0,,100.0,,,588
,,,,,589
66.0,,100.0,,,590
,,,,,591
66.0,,100.0,,,592
,,,,,593
66.0,,100.0,,,594
,,,,,595
65.0,,100.0,,,596
,,,,,597
65.0,,100.0,,,598
,,,,,599
65.0,,100.0,,,600
,,,,,601
65.0,,100.0,,,602
,,,,,603
65.0,,100.0,,,604
,,,,,605
64.0,,100.0,,,606
,,,,,607
64.0,,100.0,,,608
,,,,,609
65.0,,100.0,,,610
,,,,,611
65.0,,100.0,,,612
,,,,,613
66.0,,100.0,,,614
,,,,,615
66.0,,100.0,,,616
,,,,,617
66.0,,100.0,,,618
,,,,,619
66.0,,100.0,,,620
,,,,,621
65.0,,100.0,,,622
,,,,,623
65.0,,100.0,,,624
,,,,,625
65.0,,100.0,,,626
,,,,,627
65.0,,100.0,,,628
,,,,,629
64.0,,100.0,,,630
,,,,,631
64.0,,100.0,,,632
,,,,,633
64.0,,100.0,,,634
,,,,,635
64.0,,100.0,,,636
,,,,,637
64.0,,100.0,,,638
,,,,,639
64.0,,100.0,,,640
,,,,,641
64.0,,100.0,,,642
,,,,,643
64.0,,100.0,,,644
,,,,,645
63.0,,100.0,,,646
,,,,,647
63.0,,100.0,,,648
,,,,,649
63.0,,100.0,,,650
,,,,,651
63.0,,100.0,,,652
,,,,,653
64.0,,100.0,,,654
,,,,,655
64.0,,100.0,,,656
,,,,,657
64.0,,100.0,,,658
,,,,,659
64.0,,100.0,,,660
,,,,,661
64.0,,100.0,,,662
,,,,,663
64.0,,100.0,,,664
,,,,,665
64.0,,100.0,,,666
,,,,,667
64.0,,100.0,,,668
,,,,,669
64.0,,100.0,,,670
,,,,,671
64.0,,100.0,,,672
,,,,,673
64.0,,100.0,,,674
,,,,,675
64.0,,100.0,,,676
,,,,,677
64.0,,100.0,,,678
,,,,,679
63.0,,100.0,,,680
,,,,,681
63.0,,100.0,,,682
,,,,,683
63.0,,100.0,,,684
,,,,,685
64.0,,100.0,,,686
,,,,,687
64.0,,100.0,,,688
,,,,,689
64.0,,100.0,,,690
,,,,,691
63.0,,100.0,,,692
,,,,,693
63.0,,100.0,,,694
,,,,,695
62.0,,100.0,,,696
,,,,,697
62.0,,100.0,,,698
,,,,,699
62.0,,100.0,,,700
,,,,,701
62.0,,100.0,,,702
,,,,,703
62.0,,100.0,,,704
,,,,,705
62.0,,100.0,,,706
,,,,,707
63.0,,100.0,,,708
,,,,,709
64.0,,100.0,,,710
,,,,,711
64.0,,100.0,,,712
,,,,,713
64.0,,100.0,,,714
,,,,,715
64.0,,100.0,,,716
,,,,,717
63.0,,100.0,,,718
,,,,,719
62.0,,100.0,,,720
,,,,,721
62.0,,100.0,,,722
,,,,,723
62.0,,100.0,,,724
,,,,,725
62.0,,100.0,,,726
,,,,,727
62.0,,100.0,,,728
,,,,,729
62.0,,100.0,,,730
,,,,,731
62.0,,100.0,,,732
,,,,,733
62.0,,100.0,,,734
,,,,,735
62.0,,100.0,,,736
,,,,,737
62.0,,100.0,,,738
,,,,,739
62.0,,100.0,,,740
,,,,,741
62.0,,100.0,,,742
,,,,,743
61.0,22.899999618530273,100.0,,,744
,,,,,745
61.0,22.80000114440918,100.0,,,746
,,,,,747
62.0,22.700000762939453,100.0,,,748
,,,,,749
62.0,22.600000381469727,100.0,,,750
,,,,,751
62.0,22.5,100.0,,,752
,,,,,753
62.0,22.399999618530273,100.0,,,754
,,,,,755
63.0,22.30000114440918,100.0,,,756
,,,,,757
63.0,22.200000762939453,100.0,,,758
,,,,,759
63.0,22.200000762939453,100.0,,,760
,,,,,761
64.0,22.0,100.0,,,762
,,,,,763
64.0,22.0,100.0,,,764
,,,,,765
64.0,21.899999618530273,100.0,,,766
,,,,,767
64.0,21.80000114440918,100.0,,,768
,,,,,769
65.0,21.80000114440918,100.0,,,770
,,,,,771
65.0,21.80000114440918,100.0,,,772
,,,,,773
65.0,21.899999618530273,100.0,,,774
,,,,,775
64.0,22.399999618530273,100.0,,,776
,,,,,777
63.0,23.200000762939453,100.0,,,778
,,,,,779
62.0,24.200000762939453,100.0,,,780
,,,,,781
61.0,25.30000114440918,100.0,,,782
,,,,,783
61.0,26.30000114440918,100.0,,,784
,,,,,785
61.0,27.100000381469727,100.0,,,786
,,,,,787
62.0,27.80000114440918,100.0,,,788
,,,,,789
62.0,28.200000762939453,100.0,,,790
,,,,,791
63.0,29.100000381469727,100.0,,,792
,,,,,793
63.0,29.700000762939453,100.0,,,794
,,,,,795
64.0,30.200000762939453,100.0,,,796
,,,,,797
65.0,30.600000381469727,100.0,,,798
,,,,,799
66.0,31.0,100.0,,,800
,,,,,801
66.0,31.30000114440918,100.0,,,802
,,,,,803
66.0,31.600000381469727,100.0,,,804
,,,,,805
66.0,31.899999618530273,100.0,,,806
,,,,,807
65.0,32.20000076293945,100.0,,,808
,,,,,809
65.0,32.400001525878906,100.0,,,810
,,,,,811
64.0,32.70000076293945,100.0,,,812
,,,,,813
64.0,32.900001525878906,100.0,,,814
,,,,,815
64.0,33.10000228881836,100.0,,,816
,,,,,817
63.0,33.29999923706055,100.0,,,818
,,,,,819
63.0,33.400001525878906,100.0,,,820
,,,,,821
63.0,33.60000228881836,100.0,,,822
,,,,,823
63.0,33.79999923706055,100.0,,,824
,,,,,825
63.0,33.900001525878906,100.0,,,826
,,,,,827
63.0,34.0,100.0,,,828
,,,,,829
63.0,34.20000076293945,100.0,,,830
,,,,,831
63.0,34.29999923706055,100.0,,,832
,,,,,833
62.0,34.400001525878906,100.0,,,834
,,,,,835
62.0,34.5,100.0,,,836
,,,,,837
63.0,34.60000228881836,100.0,,,838
,,,,,839
63.0,34.70000076293945,100.0,,,840
,,,,,841
63.0,34.79999923706055,100.0,,,842
,,,,,843
63.0,34.900001525878906,100.0,,,844
,,,,,845
63.0,34.900001525878906,100.0,,,846
,,,,,847
63.0,35.0,100.0,,,848
,,,,,849
62.0,35.0,100.0,,,850
,,,,,851
62.0,35.10000228881836,100.0,,,852
,,,,,853
61.0,35.20000076293945,100.0,,,854
,,,,,855
61.0,35.20000076293945,100.0,,,856
,,,,,857
61.0,35.29999923706055,100.0,,,858
,,,,,859
61.0,35.29999923706055,100.0,,,860
,,,,,861
62.0,35.400001525878906,100.0,,,862
,,,,,863
62.0,35.400001525878906,100.0,,,864
,,,,,865
62.0,35.5,100.0,,,866
,,,,,867
62.0,35.5,100.0,,,868
,,,,,869
62.0,35.5,100.0,,,870
,,,,,871
62.0,35.60000228881836,100.0,,,872
,,,,,873
62.0,35.60000228881836,100.0,,,874
,,,,,875
62.0,35.70000076293945,100.0,,,876
,,,,,877
62.0,35.70000076293945,100.0,,,878
,,,,,879
62.0,35.70000076293945,100.0,,,880
,,,,,881
62.0,35.70000076293945,100.0,,,882
,,,,,883
62.0,35.79999923706055,100.0,,,884
,,,,,885
62.0,35.79999923706055,100.0,,,886
,,,,,887
61.0,35.79999923706055,100.0,,,888
,,,,,889
61.0,35.79999923706055,100.0,,,890
,,,,,891
61.0,35.79999923706055,100.0,,,892
,,,,,893
62.0,35.900001525878906,100.0,,,894
,,,,,895
62.0,35.900001525878906,100.0,,,896
,,,,,897
62.0,35.900001525878906,100.0,,,898
,,,,,899
62.0,35.900001525878906,100.0,,,900
,,,,,901
62.0,35.900001525878906,100.0,,,902
,,,,,903
62.0,36.0,100.0,,,904
,,,,,905
61.0,36.0,100.0,,,906
,,,,,907
61.0,36.0,100.0,,,908
,,,,,909
61.0,36.0,100.0,,,910
,,,,,911
62.0,36.0,100.0,,,912
,,,,,913
62.0,36.0,100.0,,,914
,,,,,915
62.0,36.0,100.0,,,916
,,,,,917
63.0,36.0,100.0,,,918
,,,,,919
63.0,36.0,100.0,,,920
,,,,,921
63.0,36.0,100.0,,,922
,,,,,923
63.0,36.0,100.0,,,924
,,,,,925
63.0,36.10000228881836,100.0,,,926
,,,,,927
63.0,36.10000228881836,100.0,,,928
,,,,,929
63.0,36.10000228881836,100.0,,,930
,,,,,931
62.0,36.10000228881836,100.0,,,932
,,,,,933
61.0,36.10000228881836,100.0,,,934
,,,,,935
61.0,36.10000228881836,100.0,,,936
,,,,,937
61.0,36.10000228881836,100.0,,,938
,,,,,939
61.0,36.10000228881836,100.0,,,940
,,,,,941
61.0,36.10000228881836,100.0,,,942
,,,,,943
61.0,36.10000228881836,100.0,,,944
,,,,,945
62.0,36.10000228881836,100.0,,,946
,,,,,947
62.0,36.20000076293945,100.0,,,948
,,,,,949
61.0,36.20000076293945,100.0,,,950
,,,,,951
61.0,36.20000076293945,100.0,,,952
,,,,,953
60.0,36.20000076293945,100.0,,,954
,,,,,955
60.0,36.20000076293945,100.0,,,956
,,,,,957
59.0,36.20000076293945,100.0,,,958
,,,,,959
59.0,36.20000076293945,100.0,,,960
,,,,,961
60.0,36.20000076293945,100.0,,,962
,,,,,963
60.0,36.20000076293945,100.0,,,964
,,,,,965
