Solar8000/HR,Solar8000/BT,Solar8000/PLETH_SPO2,Solar8000/ART_SBP,Solar8000/RR,time_sec
,,,,,0
70.0,,100.0,27.0,,1
69.0,,100.0,27.0,,2
69.0,,100.0,12.0,,3
69.0,,100.0,16.0,,4
69.0,,100.0,16.0,,5
69.0,,100.0,16.0,,6
69.0,,100.0,16.0,,7
69.0,,100.0,12.0,,8
69.0,,100.0,12.0,,9
69.0,,100.0,12.0,,10
69.0,,100.0,12.0,,11
69.0,,100.0,12.0,,12
69.0,,100.0,12.0,,13
69.0,,100.0,12.0,,14
61.0,,100.0,12.0,,15
60.0,,100.0,13.0,,16
60.0,,100.0,13.0,,17
68.0,,100.0,13.0,,18
68.0,,100.0,13.0,,19
68.0,,100.0,12.0,,20
68.0,,100.0,12.0,,21
68.0,,100.0,13.0,,22
67.0,,100.0,13.0,,23
67.0,,100.0,12.0,,24
67.0,,100.0,12.0,,25
66.0,,100.0,12.0,,26
66.0,,100.0,12.0,,27
65.0,,100.0,12.0,,28
65.0,,100.0,12.0,,29
65.0,,100.0,12.0,,30
65.0,,100.0,12.0,,31
57.0,,100.0,12.0,,32
57.0,,100.0,12.0,,33
57.0,,100.0,12.0,,34
57.0,,100.0,12.0,,35
57.0,,100.0,12.0,,36
57.0,,100.0,12.0,,37
64.0,,100.0,12.0,,38
64.0,,100.0,12.0,,39
64.0,,100.0,12.0,,40
63.0,,100.0,12.0,,41
63.0,,100.0,12.0,,42
63.0,,100.0,12.0,,43
63.0,,100.0,12.0,,44
63.0,,100.0,12.0,,45
64.0,,100.0,12.0,,46
64.0,,100.0,12.0,,47
64.0,,100.0,12.0,,48
64.0,,100.0,18.0,,49
64.0,,100.0,18.0,,50
65.0,,100.0,18.0,,51
65.0,,100.0,12.0,,52
64.0,,100.0,53.0,,53
64.0,,100.0,31.0,,54
64.0,,100.0,56.0,,55
65.0,,100.0,49.0,,56
65.0,,100.0,40.0,,57
65.0,,100.0,21.0,,58
65.0,,100.0,25.0,,59
65.0,,100.0,16.0,,60
65.0,,100.0,17.0,,61
65.0,,100.0,14.0,,62
65.0,,100.0,13.0,,63
65.0,,100.0,13.0,,64
65.0,,100.0,13.0,,65
65.0,,100.0,13.0,,66
65.0,,100.0,10.0,,67
65.0,,100.0,10.0,,68
66.0,,100.0,10.0,,69
66.0,,100.0,10.0,,70
66.0,,100.0,10.0,,71
66.0,,100.0,11.0,,72
66.0,,100.0,11.0,,73
66.0,,100.0,11.0,,74
66.0,,100.0,10.0,,75
59.0,,100.0,18.0,,76
59.0,,100.0,16.0,,77
61.0,,100.0,16.0,,78
68.0,,100.0,11.0,,79
26.0,,100.0,11.0,,80
0.0,,100.0,11.0,,81
0.0,,100.0,11.0,,82
0.0,,100.0,11.0,,83
0.0,,100.0,11.0,,84
0.0,,100.0,11.0,,85
0.0,,100.0,11.0,,86
0.0,,100.0,16.0,,87
0.0,,100.0,17.0,,88
0.0,,100.0,,,89
0.0,,100.0,,,90
0.0,,100.0,,,91
0.0,,100.0,,,92
0.0,,100.0,,,93
0.0,,100.0,,,94
0.0,,100.0,,,95
0.0,,100.0,,,96
0.0,,100.0,,,97
0.0,,100.0,,,98
0.0,,100.0,,,99
0.0,,100.0,,,100
0.0,,100.0,,,101
0.0,,100.0,,,102
0.0,,100.0,,,103
0.0,,100.0,23.0,,104
0.0,,100.0,49.0,,105
0.0,,100.0,32.0,,106
0.0,,100.0,24.0,,107
23.0,,100.0,26.0,,108
15.0,,100.0,24.0,,109
72.0,,100.0,24.0,,110
26.0,,100.0,20.0,,111
11.0,,100.0,20.0,,112
65.0,,100.0,33.0,,113
0.0,,100.0,29.0,,114
0.0,,100.0,29.0,,115
0.0,,100.0,38.0,,116
0.0,,100.0,33.0,,117
0.0,,100.0,20.0,,118
0.0,,100.0,32.0,,119
0.0,,100.0,32.0,,120
0.0,,100.0,28.0,,121
0.0,,100.0,36.0,,122
0.0,,100.0,33.0,,123
0.0,,100.0,31.0,,124
0.0,,100.0,28.0,,125
0.0,,100.0,28.0,,126
0.0,,100.0,28.0,,127
75.0,,100.0,24.0,,128
37.0,,100.0,24.0,,129
28.0,,100.0,24.0,,130
71.0,,100.0,38.0,,131
30.0,,100.0,28.0,,132
30.0,,100.0,27.0,,133
66.0,,100.0,27.0,,134
15.0,,100.0,24.0,,135
0.0,,100.0,24.0,,136
0.0,,100.0,24.0,,137
0.0,,100.0,34.0,,138
0.0,,100.0,29.0,,139
0.0,,100.0,76.0,,140
0.0,,100.0,125.0,,141
0.0,,100.0,83.0,,142
0.0,,100.0,50.0,,143
0.0,,100.0,44.0,,144
0.0,,100.0,39.0,,145
0.0,,100.0,38.0,,146
68.0,,100.0,52.0,,147
68.0,,100.0,93.0,,148
73.0,,100.0,,,149
39.0,,100.0,,,150
39.0,,100.0,,,151
79.0,,100.0,,,152
55.0,,100.0,,,153
55.0,,100.0,,,154
68.0,,100.0,9.0,,155
0.0,,100.0,9.0,,156
0.0,,100.0,10.0,,157
0.0,,100.0,10.0,,158
0.0,,100.0,9.0,,159
0.0,,100.0,9.0,,160
0.0,,100.0,9.0,,161
0.0,,100.0,9.0,,162
0.0,,100.0,10.0,,163
0.0,,100.0,10.0,,164
0.0,,100.0,10.0,,165
0.0,,100.0,10.0,,166
0.0,,100.0,9.0,,167
0.0,,100.0,9.0,,168
0.0,,100.0,9.0,,169
0.0,,100.0,9.0,,170
28.0,,100.0,9.0,,171
0.0,,100.0,10.0,,172
0.0,,100.0,10.0,,173
71.0,,100.0,10.0,,174
47.0,,100.0,10.0,,175
47.0,,100.0,10.0,,176
86.0,,100.0,10.0,,177
86.0,,100.0,10.0,,178
66.0,,100.0,10.0,,179
66.0,,100.0,9.0,,180
81.0,,100.0,9.0,,181
79.0,,100.0,9.0,,182
92.0,,100.0,9.0,,183
92.0,,100.0,9.0,,184
67.0,,100.0,10.0,,185
67.0,,100.0,10.0,,186
67.0,,100.0,11.0,,187
82.0,,100.0,11.0,,188
82.0,,100.0,11.0,,189
73.0,,100.0,10.0,,190
82.0,,100.0,10.0,,191
92.0,,100.0,10.0,,192
91.0,,100.0,10.0,,193
91.0,,100.0,10.0,,194
91.0,,100.0,10.0,,195
91.0,,100.0,9.0,,196
66.0,,100.0,9.0,,197
60.0,,100.0,9.0,,198
60.0,,100.0,9.0,,199
67.0,,100.0,10.0,,200
67.0,,100.0,10.0,,201
61.0,,100.0,10.0,,202
67.0,,100.0,10.0,,203
66.0,,100.0,10.0,,204
66.0,,100.0,10.0,,205
80.0,,100.0,10.0,,206
80.0,,100.0,10.0,,207
89.0,,100.0,9.0,,208
79.0,,100.0,9.0,,209
79.0,,100.0,9.0,,210
65.0,,100.0,9.0,,211
64.0,,100.0,10.0,,212
64.0,,100.0,10.0,,213
64.0,,100.0,10.0,,214
69.0,,100.0,10.0,,215
69.0,,100.0,10.0,,216
63.0,,100.0,10.0,,217
69.0,,100.0,10.0,,218
54.0,,100.0,10.0,,219
50.0,,100.0,9.0,,220
68.0,,100.0,9.0,,221
68.0,,100.0,9.0,,222
62.0,,100.0,9.0,,223
62.0,,100.0,9.0,,224
62.0,,100.0,9.0,,225
52.0,,100.0,10.0,,226
67.0,,100.0,10.0,,227
67.0,,100.0,10.0,,228
67.0,,100.0,10.0,,229
66.0,,100.0,10.0,,230
66.0,,100.0,10.0,,231
55.0,,100.0,10.0,,232
66.0,,100.0,10.0,,233
66.0,,100.0,10.0,,234
55.0,,100.0,10.0,,235
66.0,,100.0,9.0,,236
60.0,,100.0,9.0,,237
60.0,,100.0,9.0,,238
60.0,,100.0,9.0,,239
60.0,,100.0,10.0,,240
66.0,,100.0,10.0,,241
82.0,,100.0,10.0,,242
81.0,,100.0,10.0,,243
72.0,,100.0,9.0,,244
72.0,,100.0,9.0,,245
72.0,,100.0,9.0,,246
60.0,,100.0,9.0,,247
66.0,,100.0,9.0,,248
50.0,,100.0,9.0,,249
50.0,,100.0,9.0,,250
66.0,,100.0,9.0,,251
81.0,,100.0,10.0,,252
80.0,,100.0,10.0,,253
79.0,,100.0,10.0,,254
79.0,,100.0,10.0,,255
79.0,,100.0,10.0,,256
70.0,,100.0,10.0,,257
70.0,,100.0,9.0,,258
70.0,,100.0,9.0,,259
78.0,,100.0,9.0,,260
78.0,,100.0,9.0,,261
78.0,,100.0,9.0,,262
69.0,,100.0,9.0,,263
52.0,,100.0,9.0,,264
44.0,,100.0,9.0,,265
68.0,,100.0,10.0,,266
