Solar8000/HR,Solar8000/BT,Solar8000/PLETH_SPO2,Solar8000/ART_SBP,Solar8000/RR,time_sec
0.0,,100.0,11.0,,340
,,,,,341
,,,,,342
,,,,,343
0.0,,100.0,11.0,,344
,,,,,345
,,,,,346
,,,,,347
0.0,,100.0,16.0,,348
,,,,,349
,,,,,350
,,,,,351
0.0,,100.0,17.0,,352
,,,,,353
,,,,,354
,,,,,355
0.0,,100.0,,,356
,,,,,357
,,,,,358
,,,,,359
0.0,,100.0,,,360
,,,,,361
,,,,,362
,,,,,363
0.0,,100.0,,,364
,,,,,365
,,,,,366
,,,,,367
0.0,,100.0,,,368
,,,,,369
,,,,,370
,,,,,371
0.0,,100.0,,,372
,,,,,373
,,,,,374
,,,,,375
0.0,,100.0,,,376
,,,,,377
,,,,,378
,,,,,379
0.0,,100.0,,,380
,,,,,381
,,,,,382
,,,,,383
0.0,,100.0,,,384
,,,,,385
,,,,,386
,,,,,387
0.0,,100.0,,,388
,,,,,389
,,,,,390
,,,,,391
0.0,,100.0,,,392
,,,,,393
,,,,,394
,,,,,395
0.0,,100.0,,,396
,,,,,397
,,,,,398
,,,,,399
0.0,,100.0,,,400
,,,,,401
,,,,,402
,,,,,403
0.0,,100.0,,,404
,,,,,405
,,,,,406
,,,,,407
0.0,,100.0,,,408
,,,,,409
,,,,,410
,,,,,411
0.0,,100.0,,,412
,,,,,413
,,,,,414
,,,,,415
0.0,,100.0,23.0,,416
,,,,,417
,,,,,418
,,,,,419
0.0,,100.0,49.0,,420
,,,,,421
,,,,,422
,,,,,423
0.0,,100.0,32.0,,424
,,,,,425
,,,,,426
,,,,,427
0.0,,100.0,24.0,,428
,,,,,429
,,,,,430
,,,,,431
23.0,,100.0,26.0,,432
,,,,,433
,,,,,434
,,,,,435
15.0,,100.0,24.0,,436
,,,,,437
,,,,,438
,,,,,439
72.0,,100.0,24.0,,440
,,,,,441
,,,,,442
,,,,,443
26.0,,100.0,20.0,,444
,,,,,445
,,,,,446
,,,,,447
11.0,,100.0,20.0,,448
,,,,,449
,,,,,450
,,,,,451
65.0,,100.0,33.0,,452
,,,,,453
,,,,,454
,,,,,455
